2026-04-23 13:52:27,528 | INFO | [Insider Threat] Score=49 | Action=Require MFA
2026-04-23 13:52:29,177 | INFO | [Suspicious Device] Score=57 | Action=Require MFA
2026-04-23 13:52:29,830 | INFO | [Suspicious Device] Score=57 | Action=Require MFA
2026-04-23 13:52:30,050 | INFO | [Suspicious Device] Score=57 | Action=Require MFA
2026-04-23 13:52:31,613 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:52:31,908 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:52:32,132 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:52:32,613 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:52:34,347 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:52:37,066 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:52:38,268 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:52:39,498 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:52:40,746 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:52:40,961 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:52:41,653 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:52:41,866 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:52:42,223 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:52:42,443 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:54:26,535 | INFO | [Insider Threat] Score=49 | Action=Require MFA
2026-04-23 13:58:27,927 | INFO | [Insider Threat] Score=49 | Action=Require MFA
2026-04-23 13:58:32,521 | INFO | [Suspicious Device] Score=57 | Action=Require MFA
2026-04-23 13:58:34,249 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:58:34,423 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:58:34,644 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:58:35,928 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:58:36,096 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:58:36,264 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:58:36,416 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:58:36,641 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:58:37,797 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:58:37,950 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:58:38,110 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:58:38,332 | INFO | [Bot Behavior] Score=61 | Action=Block
2026-04-23 13:58:39,220 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:58:39,372 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:58:39,488 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:58:39,617 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:58:39,832 | INFO | [Sensitive Resource] Score=46 | Action=Require MFA
2026-04-23 13:58:40,732 | INFO | [Suspicious Device] Score=57 | Action=Require MFA
2026-04-23 13:58:40,958 | INFO | [Suspicious Device] Score=57 | Action=Require MFA
2026-04-23 13:58:42,378 | INFO | [Insider Threat] Score=49 | Action=Require MFA
2026-04-23 13:58:42,503 | INFO | [Insider Threat] Score=49 | Action=Require MFA
